0	22
1	8
2	74
3	75
4	57
5	4
6	11
7	76
8	70
9	65
10	6
11	79
12	45
13	31
14	57
15	28
16	23
17	38
18	52
19	39
20	55
21	79
22	69
23	4
24	21
25	27
26	18
27	100
28	8
29	50
30	60
31	84
32	6
33	51
34	46
35	92
36	26
37	98
38	39
39	65
40	10
41	77
42	46
43	14
44	31
45	11
46	73
47	38
48	97
49	78
50	35
51	86
52	91
53	91
54	45
55	6
56	52
57	10
58	83
59	83
60	23
61	53
62	13
63	39
64	19
65	62
66	45
67	19
68	37
69	17
70	27
71	56
72	80
73	45
74	23
75	73
76	60
77	22
78	60
79	100
80	72
81	6
82	49
83	98
84	85
85	50
86	68
87	91
88	29
89	65
90	65
91	20
92	86
93	10
94	16
95	15
96	41
97	50
98	26
99	21
100	7
101	95
102	29
103	79
104	12
105	47
106	0
107	25
108	19
109	45
110	1
111	9
112	74
113	72
114	48
115	28
116	14
117	83
118	11
119	11
120	38
121	0
122	72
123	62
124	62
125	74
126	2
127	74
128	78
129	54
130	73
131	55
132	94
133	6
134	36
135	80
136	32
137	34
138	3
139	76
140	72
141	75
142	31
143	52
144	65
145	5
146	26
147	34
148	85
149	70
150	71
151	95
152	54
153	77
154	95
155	99
156	21
157	26
158	8
159	23
160	93
161	86
162	86
163	39
164	35
165	58
166	98
167	44
168	46
169	69
170	52
171	100
172	16
173	54
174	99
175	49
176	78
177	36
178	99
179	14
180	99
181	5
182	89
183	84
184	12
185	73
186	61
187	51
188	25
189	32
190	36
191	35
192	89
193	73
194	73
195	3
196	41
197	41
198	55
199	53
200	1
201	93
202	87
203	100
204	76
205	6
206	9
207	85
208	90
209	23
210	96
211	67
212	53
213	98
214	59
215	38
216	11
217	39
218	53
219	81
220	25
221	93
222	14
223	30
224	14
225	18
226	21
227	69
228	61
229	17
230	39
231	20
232	13
233	17
234	0
235	49
236	49
237	96
238	54
239	0
240	66
241	93
242	14
243	15
244	23
245	14
246	20
247	68
248	92
249	40
250	77
251	37
252	4
253	47
254	11
255	2
256	2
257	96
258	97
259	41
260	21
261	61
262	24
263	94
264	15
265	79
266	13
267	43
268	92
269	80
270	5
271	0
272	18
273	78
274	32
275	83
276	96
277	39
278	12
279	83
280	12
281	2
282	20
283	32
284	10
285	32
286	21
287	52
288	46
289	72
290	81
291	26
292	29
293	97
